! <Type> Real Vector </Type>
0	0.000000
1	0.309017
2	0.587785
3	0.809017
4	0.951057
5	1.000000
6	0.951057
7	0.809017
8	0.587785
9	0.309017
10	-0.000000
11	-0.309017
12	-0.587785
13	-0.809017
14	-0.951057
15	-1.000000
16	-0.951057
17	-0.809017
18	-0.587785
19	-0.309017
20	0.000000
21	0.309017
22	0.587785
23	0.809017
24	0.951057
25	1.000000
26	0.951057
27	0.809017
28	0.587785
29	0.309017
30	-0.000000
31	-0.309017
32	-0.587785
33	-0.809017
34	-0.951057
35	-1.000000
36	-0.951057
37	-0.809017
38	-0.587785
39	-0.309017
40	0.000000
41	0.309017
42	0.587785
43	0.809017
44	0.951057
45	1.000000
46	0.951057
47	0.809017
48	0.587785
49	0.309017
50	-0.000000
51	-0.309017
52	-0.587785
53	-0.809017
54	-0.951057
55	-1.000000
56	-0.951057
57	-0.809017
58	-0.587785
59	-0.309017
60	0.000000
61	0.309017
62	0.587785
63	0.809017
64	0.951057
65	1.000000
66	0.951057
67	0.809017
68	0.587785
69	0.309017
70	-0.000000
71	-0.309017
72	-0.587785
73	-0.809017
74	-0.951057
75	-1.000000
76	-0.951057
77	-0.809017
78	-0.587785
79	-0.309017
80	0.000000
81	0.309017
82	0.587785
83	0.809017
84	0.951057
85	1.000000
86	0.951057
87	0.809017
88	0.587785
89	0.309017
90	-0.000000
91	-0.309017
92	-0.587785
93	-0.809017
94	-0.951057
95	-1.000000
96	-0.951057
97	-0.809017
98	-0.587785
99	-0.309017
